AAAAA,BBBBB,CCCCC,DDDDD,EEEEE
6894,886739,482927,387952,135670
7239,26685,205434,697268,58767
952,100805,98846,566837,323102
7880,88085,457226,970477,303643
4640,761162,497282,264469,770726
6769,50945,49380,163883,907630
3676,845432,268589,414852,381211
2185,867855,609851,874179,494531
6046,26255,5144,773665,398886
6748,220642,806279,649447,823194
9171,141813,742372,870103,394651
2966,525442,194587,664847,417935
366,295508,625506,305264,459779
8502,567645,296643,921533,148549
8391,784240,554222,293062,193559
2576,568373,953975,636078,179521
3780,489036,562747,507289,597981
744,257039,580381,290361,454669
1928,80210,977568,642789,178648
3406,389497,460035,690247,876
6757,756437,565494,751884,56463
4890,348554,859320,515485,151979
73,636346,138340,501897,150587
8320,426872,131542,968194,245295
7709,537547,278255,770562,968781
626,579761,704042,511856,91810
734,107952,924223,572955,563462
7932,36447,10369,483653,951030
3615,830260,293470,586489,171410
8391,867345,414878,624484,611623
6599,734328,797400,107178,661364
4592,345008,826090,11059,734660
9182,719776,414714,27207,863769
1271,4502,557523,307525,947036
2803,704629,168264,658364,553951
1291,366932,331350,621076,447323
1648,863511,462451,795456,705313
8782,700417,271302,428011,783297
1139,690748,434906,171765,498725
1641,155403,892483,979927,496309
3298,683122,101737,92382,771091
1321,385217,897746,737788,822419
9266,57076,343791,416398,593122
3703,861074,608343,590196,833083
5920,323624,214894,692168,886031
5343,601040,770825,537382,17736
7133,617617,112610,575884,205396
2082,733358,185243,512126,263076
2190,697972,14058,234639,943089
9150,846771,899396,542602,905163
9507,404368,733909,136042,699734
9545,360385,211220,669957,895634
3405,164438,715369,457088,912227
3002,921382,599383,304016,826387
588,848433,919763,495190,353612
6047,586004,324334,409286,241109
8781,27341,691038,619665,475039
191,326247,948472,62409,706885
3708,576565,480118,771158,563537
5740,55803,873779,808974,363798
5869,224064,668604,587001,539448
5435,536198,752740,964122,553549
9239,4685,977355,654825,105465
4333,777147,104487,599354,172394
9333,446906,336931,859973,287025
4391,7873,758441,499815,949523
519,95741,495744,805195,459025
2663,533476,231917,743679,516349
4988,504872,993249,781340,63570
5880,490934,513592,805604,214039
4683,437756,679953,441392,894710
7066,227665,288562,651421,735311
5863,710239,674033,708060,210512
3450,913306,40129,57259,40556
7891,940553,591135,447337,795937
8541,32787,161372,877327,338489
6417,698120,611203,338114,305431
2139,127618,416614,751080,794945
3567,720961,954931,663489,242920
836,900662,851908,994749,94220
164,224826,802080,446710,313998
9276,505969,398679,407323,632568
6172,245434,490132,503022,425029
2137,480073,505666,473083,158634
3558,323226,707398,875428,49205
75,590309,644013,495530,636132
4584,250793,954441,882308,381111
6795,434822,542009,722357,957862
639,728099,47889,473722,171831
6230,797560,794271,77654,958213
5431,2083,478618,846461,586943
8202,264885,214608,190588,21449
8027,356592,435885,14633,284699
4979,793132,600187,751241,24433
9891,971506,506044,499602,907734
3799,50291,776994,882796,657532
5754,228983,258594,26704,982708
5747,445533,919993,407210,458630
9974,747734,746792,227596,89023
8465,288571,216113,852947,860248
5622,261008,927593,364066,875724
5569,85212,593597,87230,94010
1132,206774,640014,545728,10571
6075,170200,413239,333301,113246
9514,46164,389804,759341,138173
4954,451104,706727,843951,984320
9634,685853,608959,428324,571638
2533,361780,520971,128335,126374
5933,904597,202967,307994,280494
2092,820219,201299,508758,711844
9270,966868,244421,749277,450490
9577,809444,604537,921533,166059
3150,490546,684769,913651,828273
5884,198334,35180,908431,374757
3767,527037,443419,769432,511969
3496,562987,506526,461062,672033
7939,292888,382021,211119,746960
1095,592246,173383,624882,988449
8671,695746,320935,290695,493331
3024,623489,443816,714696,111772
9879,655996,955875,376538,930327
3895,463853,133079,469025,282974
3597,334282,503988,428846,169982
5818,296289,637805,208908,329149
9214,751725,396312,591657,255370
7819,798876,320354,163085,261948
5693,283632,953263,237095,637900
1881,964766,59845,848854,515460
3909,5273,544214,965428,159847
9314,209367,371711,316079,817880
1961,976893,518017,823888,130574
2904,818665,346170,73090,477400
2347,370647,626565,61547,244141
1617,728716,128885,293389,653073
6495,787197,741871,731999,75860
3578,311530,253039,542369,910251
687,137055,87723,764126,798439
7562,544929,662270,423644,916175
8215,714106,815000,283186,453949
2859,335324,174473,50001,506507
8370,989331,395108,601245,696223
4396,323371,444052,834865,964694
870,289526,34860,397834,369871
9679,532213,361826,750112,940554
9465,26775,223001,411528,240903
3892,987748,142559,507906,717153
9788,690463,873340,944664,56032
6039,356043,2521,293303,756126
9586,844306,708611,285542,844304
2509,56196,65708,47753,856347
6644,796502,362126,469638,766031
4544,591002,711152,368085,785934
9734,576643,637243,791103,697515
4393,46050,37267,988247,25152
5051,885232,633368,277234,405939
7958,121943,162450,310775,44370
7780,690161,741025,302161,802106
1588,882515,693844,600036,647713
1317,688764,51939,613330,915079
7627,267768,355823,661521,969476
4777,720564,13241,33187,741608
5901,540978,416183,472432,543454
1579,299911,231538,35115,990351
664,820604,834045,891910,483638
871,835829,153784,771437,636957
1358,15634,321436,576882,819155
6296,216937,907834,139147,668665
8217,539304,664297,475713,517875
3499,183208,624229,676563,762773
6292,353668,243502,688771,900954
2838,531913,228939,954863,652913
9779,472214,126038,975076,527325
6739,224540,296943,210393,619026
2326,863138,489060,471977,819822
9815,814764,819890,947547,165059
28,241920,376689,564018,474524
6480,168070,526348,689110,542540
4080,76227,11866,163235,411184
6925,268227,355439,462178,383801
6387,547338,224957,1994,758899
8352,918557,287568,202603,513371
3292,410052,232890,148331,182613
410,918496,276502,693366,317022
1196,206860,456251,22986,978841
5616,550919,155102,382518,777118
9065,880579,900290,481269,554337
8072,705645,410714,84426,874362
4834,671818,999302,862926,967605
724,334082,530085,416875,242965
8156,927111,477397,230556,162907
8818,323148,21850,170649,833904
6756,278296,126508,142328,113583
1734,170373,200444,104523,207027
7434,547371,950055,94801,937646
1355,124126,590401,884850,657590
7752,826202,808974,605,541652
923,233136,725628,78388,658930
545,353007,500263,708999,362690
8046,42513,450092,856698,214638
5355,295077,385020,854986,395238
8520,686127,140710,596142,594186
5479,462889,67108,852059,689910
5766,857448,54111,974124,158311
1772,787487,404034,600929,314860
9254,811244,661064,528448,583853
5745,100135,913323,484583,431203
1499,545605,319874,45858,808105
4887,774706,118183,772419,530372
1169,112952,28695,214832,983909
6038,338251,659878,917105,337569
9727,207749,582400,518247,298085
6287,22689,60949,931565,923439
9652,280903,636344,649588,786616
7361,676854,51657,876549,121101
3367,984288,895346,734627,190443
4042,840353,842278,193521,553323
2485,169017,935354,840914,761549
8502,242957,541766,645511,994589
5213,463856,369285,33690,499858
357,180211,728219,510055,683343
7473,208742,464452,188485,629206
5008,234568,802550,586691,182970
3276,289465,952101,158833,771797
5323,440081,234499,930020,6366
4336,643081,19952,142104,873300
5060,245846,106832,432564,888480
8354,908946,618569,506324,905975
4601,748391,421307,250365,596264
3441,52061,931173,84908,953807
2870,690385,916473,605991,370532
5391,697258,131734,573548,903077
5136,523097,739915,680609,632857
2032,670027,377805,46025,928592
6261,414924,572118,501774,167059
5683,235809,856114,108743,591076
2472,55691,72064,409214,591937
3773,389906,476080,207072,588439
9371,696446,380239,704933,93762
9099,813297,217873,394770,413871
3425,71568,797316,106681,943321
983,501045,801053,998200,749699
7540,68033,370067,600371,789285
2214,490404,774003,43930,729544
9232,687564,439529,749419,938716
263,907872,123979,236196,934296
1200,592709,327462,610048,17014
3,569505,320700,469171,788921
284,138087,63039,663101,987711
2245,252118,607980,607638,348687
4268,72058,710303,712449,411977
6426,183427,561190,972347,660844
39,739228,204667,650155,679966
4179,738594,99212,499345,117258
3513,440728,366276,271101,845340
3194,26027,93432,356578,781631
3984,189700,199590,336325,428861
8199,6893,990727,464734,479848
9826,779201,186467,648812,297694
1592,741946,545933,267456,241482
1916,347180,496237,60733,665203
9546,932095,200129,364143,63675
8199,18370,819139,96630,986061
3440,743845,547337,20890,391440
4297,497250,244026,773240,582064
5882,596077,49556,985895,546231
9119,591457,236808,380737,871388
1359,124247,976496,643440,625590
1421,451319,842047,253549,899370
1750,591132,152930,253575,403399
7856,622293,404291,591892,821285
4393,756206,833849,853908,944978
2519,398127,623632,764470,873433
3789,233711,709325,420370,60967
1198,78812,5759,308188,867955
7102,33397,476882,495359,522441
7034,716032,814179,165183,602344
2818,198918,759881,954210,577796
3721,94209,488227,983281,711741
4716,673399,592838,227314,925940
4136,774278,880847,369958,704839
6923,36622,24613,102792,845502
9772,251553,191730,537347,53926
1218,399600,731504,262074,773282
2949,823321,189347,825187,469802
3214,546607,703490,370229,948608
1949,389672,736206,628041,360105
9490,38605,149716,692401,122559
336,12721,548232,491854,94015
4565,147490,378373,389766,424344
6510,516670,972939,161356,315772
9987,770377,349828,140606,131953
6200,437930,260244,674503,668499
8807,50379,803445,362037,895768
9905,639576,626672,252748,778405
1864,972168,604600,361349,848250
6615,904688,888176,763796,29916
713,25609,845839,989181,436546
9642,739927,273671,766019,930051
8454,524969,57565,916038,534432
3884,906680,732946,751060,581812
8937,885163,520324,823745,592164
5573,391772,889247,683301,960088
8048,126882,794228,490162,329235
2946,601166,70996,700274,879602
4224,745386,604030,796833,562630
7178,920420,524638,756697,797622
2052,279198,61031,489709,552144
2029,651023,1765,821473,902979
7909,822082,753146,784203,619813
4910,575149,973634,391279,862603
3456,507523,358158,242994,810820
1872,287071,305028,524204,574937
3104,447485,676544,946317,145159
366,165800,87367,679358,96144
1700,239180,298479,31032,40045
2164,188657,557520,914663,163950
493,120159,454232,198517,293534
3796,516870,173339,449945,971703
4883,976830,88715,183068,976523
8942,62761,270402,728854,157789
7253,833974,367055,194789,526868
1510,392671,856281,431218,94966
6105,547905,744673,864290,252412
6320,771511,742735,907470,311628
5367,724518,838595,703625,981558
81,102714,75408,397977,365818
8160,422856,407692,250142,483778
3723,150558,804361,198654,640620
9813,264041,322576,611061,191547
6253,572045,825342,726456,850731
8000,724928,80053,325392,431265
2217,689478,68714,876836,408192
5042,322460,640644,761241,508640
9554,618581,735028,30736,55549
9748,201503,870101,92896,956508
3421,591011,53956,837622,332767
821,69990,308249,985356,156926
7633,690647,838403,507599,723069
504,499450,578778,935546,496919
8029,462693,129305,942162,69209
291,251984,778403,162841,573216
3293,246544,481143,989163,138067
2087,805859,427134,390226,557436
8201,73684,795536,726072,646285
7403,146219,575453,77099,917193
9376,174520,189980,611606,396397
7788,175883,874280,571669,127986
2062,933533,926729,754046,798443
8916,533772,130013,144196,746941
7075,551599,200985,857883,577227
9690,867180,274274,318754,135917
9469,101561,98736,999,15176
4381,351365,225700,188018,586643
8812,630339,470805,80371,81231
4728,945564,444506,355108,694132
8859,637147,699493,620658,455815
7737,424045,239514,669612,982391
8833,475055,295762,984343,372330
6145,474431,327982,397407,817341
3547,927191,877563,227539,232660
7939,411744,368281,113678,570681
2205,326326,650387,928974,211189
7602,271947,294574,347946,268613
7130,717319,741779,363276,142359
8879,538598,91762,322934,949502
2783,846846,385046,132920,446671
9851,653124,513386,593466,862548
2482,996254,201298,607947,890289
5046,131071,866888,245381,358881
8591,126963,114669,761438,778733
6978,884589,791730,276097,61623
9645,295596,383154,144897,727033
1702,297045,346974,892710,383573
9466,961851,831014,563345,391310
4594,457162,403917,802898,699106
3308,731723,430554,280064,7060
8968,244153,322862,249774,149875
193,836076,153842,223876,390258
2472,573986,18153,460782,327584
343,319847,367042,148647,76569
6679,169922,501503,28760,36909
1196,520459,749166,342312,573989
9281,778767,91052,970183,545470
5740,321760,682244,320363,701461
1515,216446,460424,652591,81706
6036,363145,494594,493917,824745
3507,592157,53196,871284,65360
1065,821746,472230,430744,212243
6248,493394,552621,300949,543307
7231,28829,187350,451144,639317
9146,869831,179324,636401,532242
3693,373028,746837,227563,948970
8882,950647,542414,812872,39091
3495,468151,262023,101941,823743
7599,172255,314681,977658,26514
583,270074,307130,367788,205953
8697,880480,343260,339896,156265
9322,491391,56027,116825,957012
2037,702533,451822,537923,136069
7174,215941,324796,212122,43200
2300,346520,82637,832948,735832
5135,533945,48627,680288,130562
5051,56365,437116,906719,22823
8711,33961,148896,24493,406463
4715,754069,703006,187275,658819
7220,602244,495170,326984,709298
3166,934721,181337,323833,104253
3573,323404,877429,852427,781555
3946,811177,508664,331118,860227
2322,945156,45684,321389,571029
6081,312209,45567,658491,880802
6225,112648,864859,989192,13449
6679,692145,456532,749641,857838
1188,895264,290669,693562,733221
1124,942566,876450,160645,497252
4381,824285,73318,820009,998342
6383,916653,537683,28332,849758
9319,668800,755567,104397,565079
2420,976159,110126,737148,603428
2792,774196,656590,621873,126495
1378,655517,279628,277103,508291
3078,39440,687154,120827,171892
1406,573114,762941,905239,852489
3708,726814,114797,132927,266513
2515,553019,482746,439970,929637
6914,79507,374584,352934,415247
8574,926070,989013,929967,574409
348,123377,794457,558699,151156
6423,408506,924742,275856,405443
5115,699466,99197,460333,957288
6843,182250,197233,811128,774574
3870,727385,570625,547765,634370
9347,132944,550118,533164,498791
1619,825180,538987,947663,536946
1175,688554,955159,348147,138957
721,812246,44113,974343,543689
2152,740806,394499,751295,684711
533,156161,700155,257322,847200
6700,615060,967825,180296,223213
191,754158,271963,846303,411338
9589,420188,479279,98351,963434
1475,135926,49708,504366,298552
7849,378828,728908,342573,23212
2888,825171,547894,113218,133972
5285,40603,704190,707687,294221
4479,29428,928221,694460,131956
5735,399467,589474,99470,855464
2679,437245,641256,636763,617595
9733,390591,721085,314017,272824
5852,739363,18556,919475,139274
8563,756276,675114,559140,557190
9928,190235,829112,263821,185373
1765,429220,453550,278610,863583
6161,711113,991813,996995,420075
1208,162241,345366,373252,783683
6919,222443,54339,79494,288541
1895,457897,963049,950044,415782
2791,622006,589928,410680,318432
3444,97173,942936,362922,153001
9801,440087,190807,767574,305948
6421,754138,732045,282192,239082
3481,236930,886595,222829,185760
1584,376983,761974,999465,668724
1499,766507,121503,264209,360605
5102,102443,535040,358022,968461
2822,623233,490309,527370,793156
9656,677154,432415,339685,343909
1955,221859,781713,204695,483161
8659,26101,942789,981023,889035
8777,43277,613854,94489,973319
519,985486,288355,406458,64495
6245,304515,458936,278452,964105
134,508296,475116,316459,733553
3114,244074,783678,907130,729990
9789,673983,692972,940784,291771
4705,107378,128738,623716,208006
2910,297421,543390,601341,631208
2671,338856,799228,253171,280828
6021,183116,955166,166554,156845
9989,596090,950304,638245,57065
8025,88760,854496,701564,156806
1078,712177,7593,455065,181293
6181,125485,654334,373768,844907
3569,871840,80396,958592,564753
1849,374503,430351,647007,964435
9371,817968,313804,416221,650376
9354,282560,172116,622664,654742
1692,544798,39164,546898,532684
6949,621326,685264,322278,318073
7510,888174,550187,574341,913617
4777,650369,482398,678118,216091
7022,225447,365315,526812,513350
9406,113691,611503,1662,429007
9611,687542,176932,850731,510530
520,789022,314544,29800,617255
9892,119426,756560,386906,290907
9916,848801,574829,122491,648565
5101,675411,321735,672798,35150
8653,390430,153050,119631,876026
2617,487616,979357,622151,819014
2416,225606,689183,945349,219325
6688,434920,772516,180848,618478
7237,477828,301546,709000,550526
6018,451110,335901,4980,471551
9269,411034,498030,224213,839474
3347,743375,586948,531729,786868
9912,159550,662508,422888,254491
735,198637,632332,447028,864620
5240,177790,618296,872627,371472
5594,612762,928775,683097,26614
4993,350654,201625,964014,857833
7925,273364,608055,702217,935048
8220,995561,838952,51889,757716
1221,639972,577033,453089,975385
6544,600940,127875,587049,655233
6522,394989,987658,299729,966890
957,380425,554840,976234,895499
4040,917594,901587,196439,698585
7738,239824,54193,86222,928644
4985,757821,361588,298116,988410
3294,400186,97938,802437,409400
3433,476643,493590,938158,326271
8662,750629,321013,294525,419175
8577,400248,58802,129644,547017
6809,951706,378794,153616,891380
7443,843171,751079,684383,187089
548,329445,716891,708503,784998
6614,632106,624771,770144,929378
1245,349749,156262,522818,67229
2366,73184,98022,359682,334983
2249,835980,388568,529295,32221
1376,481268,100950,267381,491397
7109,457163,905842,526029,37745
7303,509899,726044,134105,344091
4553,477052,404083,149806,231117
8101,926771,756147,34976,432412
9958,329711,554101,634244,121407
7333,340227,101150,50627,981992
5664,117825,472040,301357,55211
5362,109313,554948,493493,130898
2589,173376,975518,707934,284201
6737,166681,623442,969101,892097
4278,403625,862647,556172,229383
5578,89615,287850,562042,930370
9476,674255,67639,278880,243431
5311,668018,704511,22573,231457
5557,611019,441783,712224,784356
8011,30181,617291,943767,460181
7687,749788,510859,347063,281914
1644,364989,464152,219347,991892
8616,971227,489224,909823,244316
9695,972631,181274,927839,821271
3136,543428,28968,417235,438688
3837,271009,200487,303427,662242
3515,13505,83829,317445,296206
83,976468,65932,575547,367717
5997,34600,694044,117403,940095
7629,63955,244102,991099,852264
497,342548,460434,309806,568288
3721,493786,187740,411497,839397
7278,964975,442779,818010,169328
4432,227426,90315,470087,325984
4762,401424,857127,557672,390917
7261,510662,446826,226411,507827
5371,601579,179845,897680,223225
7305,335199,851018,192185,212794
6392,802612,31258,776021,322259
4046,932905,433833,835849,433566
6557,704653,1333,297402,944481
920,591957,269048,209773,566770
5289,903118,113018,595543,501625
4045,440568,7964,868641,614066
8996,901454,215393,867087,731203
8420,89817,717631,200965,373195
9905,719793,978651,150017,96457
4165,29224,2687,167648,89865
1291,821191,768440,637783,394225
6829,512156,411995,165023,160424
8040,89115,126892,766788,951815
1210,468753,816415,803408,56466
561,371008,7698,40113,870819
4823,348017,289159,308488,323855
8859,165991,701238,559933,822208
6306,256864,415885,260177,225048
9445,249652,476489,772598,860453
2800,405961,272620,305470,334522
7383,776485,969827,576541,108937
6534,732130,415717,522235,751883
6311,98651,295255,602338,958709
8653,424515,152965,657825,928771
1191,685004,905138,372586,395198
5110,780196,274149,373385,194314
3213,293615,417411,654581,535985
6363,575235,638519,689414,282894
5370,254037,411682,754638,488963
3837,716760,289918,329125,335381
5316,408451,288959,138440,148275
4332,457193,724368,80243,319984
3121,194625,60358,814281,801469
5890,94937,706186,228367,518084
8617,271986,217431,794448,33083
2854,623769,470402,265734,708704
7257,348849,807394,756041,338149
1382,546927,710340,154918,927717
1643,259344,322387,611828,252798
80,157976,329986,252660,415686
688,917672,126005,210881,444337
2132,520832,391013,57268,692899
4113,906056,692933,380476,582302
2023,207869,5961,596118,969660
4076,820329,161436,404182,156568
7745,632482,337938,708960,897010
898,182716,358695,999114,87793
9546,275798,746755,167191,7436
3407,437443,789007,46119,372769
3080,386883,571904,822846,682706
1255,46546,936936,792901,361691
8686,758565,772132,193434,26236
7355,522492,785940,357736,60435
1454,952717,995712,94174,930095
8439,179643,434105,482327,914217
4827,191542,547144,752985,910149
2682,587179,442197,594084,447113
7487,710748,808808,340095,472095
8416,141746,716377,874211,607410
9370,96883,970703,156807,895793
716,281659,194684,803781,859867
8338,455417,773620,595426,474492
4739,788471,468604,902760,344757
9641,389604,571219,481232,492106
5495,620193,537070,695980,88591
4901,890054,6470,412644,366714
3684,714442,550019,655824,120539
5285,453613,774441,746941,390628
2314,462526,112943,813818,684519
959,484761,883730,410731,880880
2031,864152,609216,855129,133792
9618,353575,277862,65293,770125
7940,293195,934266,679892,237910
9748,537511,104290,537993,869894
2928,146625,226821,165055,832905
3956,429473,252984,698768,923033
9222,941078,584030,155291,542523
5965,715433,769625,228663,142950
6416,709084,515022,827063,517992
2682,293277,630324,940849,469947
3106,367506,278655,737918,864191
1528,292894,261125,168034,576374
6227,969404,675670,412396,758765
3758,228625,601097,33364,646792
2311,256567,742143,475035,932355
8273,98586,622571,708663,918112
609,110153,136452,546194,84924
2539,96692,219062,944441,190275
9848,539995,6900,990394,702907
5431,574667,604872,277237,634543
6612,553021,936550,481128,509044
8102,739685,257603,293882,238644
6832,436417,939143,640592,246008
5357,342860,928142,869863,996011
2644,797450,392355,117655,840141
2094,595200,298077,466419,516387
843,873486,160730,813243,924176
4812,467364,401411,37323,972643
956,200213,71734,307581,817737
7808,645645,771913,318049,267814
7224,210091,996948,692837,740928
4145,82832,670400,408365,318043
3739,817187,886337,32015,160406
2829,202059,818353,625445,386659
1065,794176,891377,243930,60869
8595,866474,245672,475842,842141
6526,233207,267043,93169,88916
1191,213166,18408,530319,202523
2008,910871,402194,827764,459609
3,67527,239330,408820,649166
9637,749182,444190,253935,38797
2257,139772,9933,230629,182569
1897,576459,268310,321119,718744
1273,121278,665866,776740,759644
3998,863030,210502,139739,69734
8537,188800,168779,890450,63636
320,476842,760486,845951,712261
3447,733494,311741,462929,475837
8135,270614,497488,772338,499455
9022,920924,47226,54839,32545
9455,419463,798853,635158,912879
3636,486258,631519,511924,816358
3593,267695,616392,321554,62062
2736,330205,750951,367690,470905
7748,972190,414272,672130,530607
5857,513467,794746,954655,472972
8961,92068,810555,690108,780014
5940,829111,847437,785244,450864
7975,845951,387275,876853,742648
273,620179,954800,217561,40816
8983,411063,147905,672978,206182
6692,940074,312467,726227,323972
6491,542564,823388,246560,983695
7567,644411,608358,159861,508432
7235,923226,614862,755797,771312
3332,904332,865346,66116,988312
4475,982292,600808,50087,58400
6428,837592,527501,243247,933849
2074,908751,724337,798332,322080
4981,923539,243430,402560,712919
7484,992795,333826,970297,117454
6161,438200,433237,574627,776773
4511,397006,380471,887698,222000
3245,271412,300175,927072,254441
3330,17777,11205,6363,701069
7017,97623,579795,19671,282857
2182,247797,157880,126150,437131
139,164683,887469,314072,346683
8305,439207,696622,47532,345085
6075,312017,260393,805007,736960
1338,476145,916177,354057,193533
1972,824512,452161,894242,186219
5093,341156,981189,586458,550
3861,266346,899431,640371,108637
6703,420022,456772,411858,463390
2803,561198,425381,828847,231019
5788,631757,210116,729431,133085
4782,302595,37863,728852,239799
7889,892457,246852,304517,399228
2589,27528,180302,459066,209139
6184,504107,318927,705213,363895
5093,988489,982237,210386,978931
504,540815,682937,278103,501859
2041,793781,109021,336960,647606
25,796406,976515,432369,612167
7354,864461,663340,183926,317849
6213,309041,361215,844781,429750
478,388426,546471,564848,663998
1821,743,531119,342934,937357
4729,293090,481221,867772,599970
7724,682,550640,749843,712944
5708,583728,241584,162841,354219
1370,430897,447201,708986,723788
2312,432855,692327,74982,348614
7702,90141,88745,378318,708311
7057,418521,228347,842019,420230
7704,690781,565241,403554,406180
2808,469993,509243,872898,923010
7229,931039,476406,226207,534067
9373,77882,242651,692570,284729
7127,773518,391463,138002,636303
6833,87017,367707,192570,525623
9797,576822,165936,160380,552226
8925,818490,484994,525909,463908
5828,437206,749383,296422,939184
8712,648760,768233,463853,634553
2413,7950,509732,413580,49242
2276,539943,605786,17173,209903
5472,243990,229426,651996,324756
5191,464870,382791,23880,983045
4530,314750,816231,930168,953142
8043,776223,903363,483803,385828
1970,777353,145373,153923,98834
8087,720600,895323,671714,999109
8169,663174,729090,856706,36387
2659,883177,75362,321778,296252
6711,764419,403328,616335,70382
1587,215724,802449,455944,650244
8606,46086,745838,981615,902104
7334,584053,194020,222986,524271
8773,703860,700914,677601,368018
7435,320263,990373,824105,528711
7533,914109,973671,505887,918820
5422,618804,381888,979397,472240
2685,61418,662518,420361,806916
2720,195196,509158,591456,420425
1736,708752,347335,825452,353119
119,252962,649103,742255,602675
7985,824169,345955,752655,322486
3422,962434,667639,400618,857909
3209,429853,535742,961964,565433
2106,334304,25797,191481,22648
8919,731577,833946,465625,911597
5735,674594,218892,396231,276501
4312,643225,240543,688378,47690
5649,70243,781607,342331,392415
1349,11216,962142,323084,917434
5370,335738,450760,888786,49274
4290,527298,632649,598493,137278
5305,955959,507909,54296,607596
7680,359025,386715,674233,765091
1458,171917,189341,178169,664161
5838,622970,6837,10996,746225
905,38880,361927,997544,997617
9629,393018,856199,952552,345339
2273,675437,822694,503847,258484
9767,635686,671,867410,997070
1671,521659,970049,572227,375183
664,825462,163946,77368,373436
1165,11205,397318,126242,203891
4698,548721,917984,662048,244686
6078,295865,804349,501194,628974
7817,995392,543382,295219,60192
1358,530572,235389,38598,994641
3842,930890,821984,871636,789485
9639,92459,743566,228542,676757
2400,845923,285945,561952,997872
349,709176,111015,267578,632184
1192,147420,793536,272336,260912
2674,550748,52850,399777,632878
3690,158740,515457,993994,365880
6680,362545,375857,506668,383120
13,756060,993415,181672,410887
375,852783,53756,194946,715130
5348,653042,570027,444312,719608
4037,764703,840628,830554,211936
1917,312661,239109,803206,482129
5528,20596,717681,520032,974686
7513,15161,661831,830041,867884
5555,770419,818807,834276,746105
9710,919259,257245,720753,179080
7480,287939,133564,319603,857858
5788,224727,840699,16483,136307
5337,163757,987401,536284,265396
3962,629282,505110,754304,612595
1041,383183,945766,30722,906592
9126,611760,653761,999764,426862
979,373853,762272,97004,204643
3195,582438,106204,865531,856820
2589,808605,80355,530113,45719
305,472434,148625,690261,182557
6871,568743,322029,215444,357927
4656,397805,648496,810108,601220
5672,621423,463927,67039,89559
3790,533696,146020,200684,735747
3689,17743,773335,403517,282897
1099,101430,978954,561475,589809
4588,681909,745459,642809,748817
6137,109442,741089,943454,453380
7036,938089,151941,369365,229434
744,545468,179394,146813,38774
9449,32197,449355,101588,534596
3802,991408,237973,58477,519859
9129,845817,280925,205177,223556
3465,205759,529438,696354,292299
6197,726612,241483,179327,659456
632,845918,25920,675858,627343
839,872242,346423,149732,207182
5870,942161,891181,30819,376205
6152,402646,998635,443617,496502
4128,266892,725144,124401,733760
43,421422,971514,670678,446460
4935,646795,542802,3445,617676
1459,588238,775028,584481,189057
1055,759266,60617,418140,544773
1647,70918,126906,486523,980536
6556,490261,913631,331246,385001
6551,941150,286399,392600,473313
1626,970423,435858,603323,237846
353,916804,100909,521736,739726
6462,64795,896401,511564,80549
7073,681525,436904,500214,35895
8820,276280,325152,248299,109971
9088,304436,76305,346542,139243
7749,2724,190476,59729,775547
8800,290226,281035,871204,788061
2576,674910,676496,771448,830126
666,656057,624978,576104,498192
3505,659831,958225,869489,382432
8351,634646,638747,985474,225198
941,330237,539088,540544,367023
7280,625814,43851,641713,717649
5059,830388,157215,231390,872121
1388,573473,239286,771574,168040
9218,745451,924596,749328,233
4436,460252,508492,422156,362279
9110,829001,834044,926595,345451
783,211529,17604,913289,437479
6676,663558,540585,289405,672909
1827,49597,508786,29345,149976
2551,237758,359472,550688,318254
3038,933611,700786,798445,892507
391,131881,564279,95236,682778
7434,136366,943140,807067,114257
8590,479214,588784,9885,443230
351,258396,196890,734963,708337
9367,520972,318485,935975,28927
5773,485864,776404,905884,685114
5059,673487,854902,888240,287445
619,225348,244407,189781,14685
167,193655,762491,572505,148607
9267,452396,801103,198162,294399
7419,441791,445480,315010,469162
4859,857913,946555,864080,756678
8880,725095,325418,356012,80319
9105,639200,116436,244987,543952
8632,762296,460897,468253,607762
4087,192468,189939,527836,763660
3907,874590,40261,128224,914342
5271,646119,296079,506858,995170
5258,971981,117263,465217,779803
5409,906213,413615,987074,469176
4806,366853,597005,609773,959446
7978,98855,896120,744851,427234
9979,901180,378282,292214,705498
5357,755174,70259,359748,563013
8297,116333,765235,7428,843272
6556,639028,161431,387551,627244
3592,683055,872234,314654,192283
1973,262812,238500,704281,396646
4990,301509,140029,289224,802669
3814,868491,332809,239257,747418
9824,314124,594950,943328,351125
543,900135,87254,515101,871595
5428,844320,330663,333828,512728
3277,299701,980911,188626,298853
6326,267060,754554,297876,886999
4871,506918,144364,253026,449710
289,682523,254907,839185,882299
8405,671121,202411,684917,243890
6920,797163,95548,66887,179031
1655,404955,660879,197891,894121
2821,339917,236497,761175,584077
4160,444938,431359,229911,720057
7587,559678,856281,521764,245564
7560,622614,597195,586587,870007
3105,505847,665722,154278,822924
6691,415450,405843,689450,920337
5535,249114,806753,620208,956032
3830,302087,940952,319914,850940
4697,669612,51206,999954,574620
1382,980851,285328,383599,79035
4116,549155,969175,372411,441854
2592,793044,563095,247406,813555
1245,790539,423399,861096,378467
8905,961503,80473,572472,827194
38,351060,2537,431328,677468
34,153850,918397,52539,61187
8154,360620,590073,334184,895440
6832,950400,405182,946330,805037
4204,847535,48039,728475,48772
8813,471546,385775,446535,56997
